duration,protocol_type, Timestamp,source ip,source_host,destination ip,destination_host,flow bytes/s,flow byte mb,class,severity,flow packets,service,flag,src_bytes,dst_bytes,land,wrong_fragment,urgent,hot,num_failed_logins,logged_in,num_compromised,root_shell,su_attempted,num_root,num_file_creations,num_shells,num_access_files,num_outbound_cmds,is_host_login,is_guest_login,count,srv_count,serror_rate,srv_serror_rate,rerror_rate,srv_rerror_rate,same_srv_rate,diff_srv_rate,srv_diff_host_rate,dst_host_count,dst_host_srv_count,dst_host_same_srv_rate,dst_host_diff_srv_rate,dst_host_same_src_port_rate,dst_host_srv_diff_host_rate,dst_host_serror_rate,dst_host_srv_serror_rate,dst_host_rerror_rate,dst_host_srv_rerror_rate,data
0,tcp,12/1/2018 11:06,103.46.12.151,Hacker 2,172.31.67.125,Smart Phone 93,2944000000,2944.00 MB,normal,,2000000,ftp_data,SF,7012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,15,0,0,0,0,1,0,0,192,56,0.29,0.02,0.29,0,0,0,0,0,20
0,icmp,12/1/2018 10:53,103.70.130.74,Hacker 3,172.31.65.9,Cisco Router 3,0,0.00  B,ipsweep,Critical,19607.84314,eco_i,SF,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,16,0,0,0,0,1,0,1,2,52,1,0,1,0.5,0,0,0,0,17
0,udp,12/1/2018 10:55,103.70.130.74,Hacker 3,172.31.64.107,Cisco Router 3,31000000,31.00 MB,normal,High,2000000,domain_u,SF,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,1,0,1,255,31,0.12,0.02,0.12,0,0,0,0,0,21
0,udp,12/1/2018 10:56,103.70.130.74,Hacker 3,172.31.66.83,Printer 18,1132657.153,1.13 MB,normal,Low,2583.940955,private,SF,105,145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,1,0,0,255,254,1,0.01,0.01,0,0,0,0,0,19
0,udp,12/1/2018 10:59,103.70.130.74,Hacker 3,172.31.65.9,Printer 18,2944000000,2944.00 MB,normal,,2000000,private,SF,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,10,0,0,0,0,0.19,0.65,0,255,10,0.04,0.53,0.87,0,0,0,0.13,0,3
0,tcp,12/1/2018 11:02,103.70.130.74,Hacker 3,172.31.64.107,Smart Phone 70,3426924.724,3.43 MB,normal,,7788.465283,http,SF,231,1281,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,1,0,0,124,255,1,0,0.01,0.02,0,0,0,0,21
0,tcp,12/1/2018 11:05,103.70.130.74,Hacker 3,172.31.66.83,Smart Phone 70,0,0.00  B,normal,,7843.137255,http,SF,328,258,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,1,0,0,14,255,1,0,0.07,0.01,0,0,0,0,21
0,tcp,12/1/2018 10:51,103.9.78.129,Hacker 21,172.31.68.6,Smart Phone 142,896714.7632,896.71 KB,neptune,Low,2037.988098,mtp,S0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,236,2,1,1,0,0,0.01,0.07,0,255,2,0.01,0.07,0,0,1,1,0,0,20
0,udp,12/1/2018 10:58,103.9.78.129,Hacker 21,172.31.68.6,Smart Phone 142,1472000000,1472.00 MB,normal,Critical,1000000,domain_u,SF,45,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131,131,0,0,0,0,1,0,0,255,255,1,0,0.01,0,0,0,0,0,18
1,tcp,12/1/2018 10:57,103.94.120.3,Hacker 22,172.31.64.61,Desktop 30,483820.2953,483.82 KB,mailbomb,High,628.3380459,smtp,SF,2599,293,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,1,0,0,255,130,0.51,0.15,0,0,0,0,0.47,0,11
0,tcp,12/1/2018 11:06,103.94.120.3,Hacker 22,172.31.64.61,Desktop 30,2944000000,2944.00 MB,normal,,2000000,http,SF,305,459,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,8,11,0,0,0,0,1,0,0.18,65,238,1,0,0.02,0.03,0,0,0,0,21
0,tcp,12/1/2018 10:55,104.105.74.73,Hacker 23,172.31.64.51,Desktop 25,2417648.837,2.42 MB,normal,Critical,5494.656447,http,SF,484,588,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,13,255,1,0,0.08,0.06,0,0,0,0,21
0,tcp,12/1/2018 11:01,104.105.74.73,Hacker 23,172.31.64.51,Desktop 25,3390352.905,3.39 MB,satan,,7705.347511,pop_2,REJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,374,1,0.07,0,0.93,1,0,1,0,255,1,0,1,0,0,0.07,0,0.93,1,17
0,tcp,12/1/2018 10:52,104.152.211.174,Hacker 24,172.31.66.71,Smart Phone 60,293333333.3,293.33 MB,normal,Low,666666.6667,http,SF,283,11422,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,9,9,0,0,0,0,1,0,0,34,255,1,0,0.03,0.02,0.03,0,0,0,21
0,tcp,12/1/2018 10:58,104.152.211.174,Hacker 24,172.31.66.71,Smart Phone 60,165333333.3,165.33 MB,normal,Critical,666666.6667,http,SF,242,2540,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,14,14,0,0,0,0,1,0,0,62,255,1,0,0.02,0.02,0,0,0,0,21
0,udp,12/1/2018 10:51,104.152.211.66,Hacker 25,172.31.65.34,Telnet Server,951608.5428,951.61 KB,snmpgetattack,Low,2162.746688,private,SF,105,146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,1,0,0,9,9,1,0,0.11,0,0,0,0,0,3
282,tcp,12/1/2018 10:58,104.152.211.66,Hacker 25,172.31.65.34,Telnet Server,1400404.208,1.40 MB,warezmaster,Critical,3182.736835,ftp,SF,164,599,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,255,61,0.24,0.03,0,0,0.1,0,0.02,0,12
0,tcp,12/1/2018 10:56,104.16.122.175,Hacker 26,172.31.64.23,FTP Server 2,440000000,440.00 MB,normal,Low,1000000,http,SF,281,307,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,12,15,0,0,0,0,1,0,0.13,255,255,1,0,0,0,0,0,0,0,21
0,udp,12/1/2018 11:06,104.16.122.175,Hacker 26,172.31.64.23,FTP Server 2,981333333.3,981.33 MB,normal,,666666.6667,domain_u,SF,44,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116,115,0,0,0,0,0.99,0.02,0,255,253,0.99,0.01,0.01,0,0,0,0,0,19
0,tcp,12/1/2018 10:55,104.16.24.92,Hacker 4,192.168.10.25,Palo Alto Firewall,1248669.741,1.25 MB,neptune,Critical,2837.885775,kshell,REJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150,20,0,0,1,1,0.13,0.05,0,255,20,0.08,0.05,0,0,0,0,1,1,20
805,tcp,12/1/2018 11:02,104.16.24.92,Hacker 4,192.168.10.25,Palo Alto Firewall,2414536.323,2.41 MB,apache2,,5510.410491,http,RSTR,62344,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,35,35,0,0,1,1,1,0,0,255,253,0.99,0.01,0,0,0,0,0.17,0.17,15
0,tcp,12/1/2018 10:55,104.16.25.92,Hacker 4,192.168.10.25,Palo Alto Firewall,4586438.735,4.59 MB,neptune,Critical,10423.7244,private,S0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,294,19,1,1,0,0,0.06,0.05,0,255,19,0.07,0.06,0,0,1,1,0,0,21
0,tcp,12/1/2018 11:02,104.16.25.92,Hacker 4,192.168.10.25,Palo Alto Firewall,134.5412216,134.54  B,neptune,,0.091400286,domain,S0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,206,8,1,1,0,0,0.04,0.07,0,255,8,0.03,0.07,0,0,1,1,0,0,21
0,tcp,12/1/2018 10:51,104.16.26.92,Hacker 4,192.168.10.25,Palo Alto Firewall,2343042.761,2.34 MB,guess_passwd,High,5325.097183,pop_3,SF,30,217,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,255,2,0.01,0.02,0,0,0,0,0,0,4
0,icmp,12/1/2018 10:58,104.16.26.92,Hacker 4,192.168.10.25,Palo Alto Firewall,2168285.594,2.17 MB,smurf,Low,4968.573771,ecr_i,SF,508,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,479,479,0,0,0,0,1,0,0,255,255,1,0,1,0,0,0,0,0,18
0,tcp,12/1/2018 10:58,104.16.83.55,Hacker 27,172.31.64.109,Cisco Router 5,57.8452355,57.85  B,normal,Medium,0.039297035,ftp_data,SF,4753,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,0,0,0,0,1,0,0,79,62,0.63,0.08,0.63,0.03,0,0,0,0,21
0,tcp,12/1/2018 11:06,104.16.83.55,Hacker 27,172.31.64.109,Cisco Router 5,2720000000,2720.00 MB,neptune,,2000000,Z39_50,REJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,222,15,0,0,1,1,0.07,0.07,0,255,15,0.06,0.07,0,0,0,0,1,1,18
0,tcp,12/1/2018 10:54,104.19.192.102,Hacker 28,172.31.65.80,Printer 15,1541606.36,1.54 MB,normal,Critical,3518.225745,http,SF,354,2238,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,9,9,0,0,0,0,1,0,0,49,255,1,0,0.02,0.01,0,0,0,0,21
0,tcp,12/1/2018 11:00,104.19.192.102,Hacker 28,172.31.65.80,Printer 15,2411381.6,2.41 MB,neptune,,5501.106544,private,REJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125,1,0,0,1,1,0.01,0.06,0,255,1,0,0.05,0,0,0,0,1,1,21
7695,tcp,12/1/2018 10:57,104.20.117.11,Hacker 29,172.31.68.23,Smart Phone 137,3318796.405,3.32 MB,processtable,High,7581.086362,telnet,SF,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,255,160,0.63,0.02,0,0,0.54,0.52,0.01,0.01,18
0,tcp,12/1/2018 11:06,104.20.117.11,Hacker 29,172.31.68.23,Smart Phone 137,2896000000,2896.00 MB,neptune,,2000000,kshell,REJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,146,20,0,0,1,1,0.14,0.05,0,255,20,0.08,0.05,0,0,0,0,1,1,20
0,tcp,12/1/2018 10:56,104.20.16.243,Hacker 30,172.31.67.31,Smart Phone 103,574827.4749,574.83 KB,neptune,Medium,1306.426079,private,REJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,268,2,0,0,1,1,0.01,0.06,0,255,2,0.01,0.07,0,0,0,0,1,1,21
0,icmp,12/1/2018 11:04,104.20.16.243,Hacker 30,172.31.67.31,Smart Phone 103,979314.078,979.31 KB,normal,,2242.585934,ecr_i,SF,40008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,1,0,0,84,84,1,0,1,0,0,0,0,0,10
0,tcp,12/1/2018 10:54,104.20.38.14,Hacker 5,172.31.67.29,Cisco Router 3,2023035.012,2.02 MB,neptune,Medium,4597.806846,private,REJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,147,17,0,0,1,1,0.12,0.06,0,255,17,0.07,0.05,0,0,0,0,1,1,21
0,tcp,12/1/2018 10:55,104.20.38.14,Hacker 5,172.31.64.107,Cisco Router 3,4979347.027,4.98 MB,neptune,High,11316.69779,private,S0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,124,16,1,1,0,0,0.13,0.06,0,255,16,0.06,0.05,0,0,1,1,0,0,21
0,tcp,12/1/2018 11:00,104.20.38.14,Hacker 5,172.31.67.29,Smart Phone 102,2942553.334,2.94 MB,neptune,,6687.621213,time,S0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,145,1,1,1,0,0,0.01,0.1,0,255,1,0,0.09,0,0,1,1,0,0,18
0,tcp,12/1/2018 11:02,104.20.38.14,Hacker 5,172.31.64.107,Smart Phone 102,2691378.414,2.69 MB,neptune,,6116.769123,name,REJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,237,10,0,0,1,1,0.04,0.06,0,255,10,0.04,0.07,0,0,0,0,1,1,19
280,tcp,12/1/2018 10:58,104.20.39.14,Hacker 5,172.31.69.16,Smart Phone 146,880000000,880.00 MB,warezmaster,Medium,2000000,ftp_data,SF,283618,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,1,0,0,8,16,1,0,1,0.12,0,0,0,0,16
0,tcp,12/1/2018 11:06,104.20.39.14,Hacker 5,172.31.69.16,Smart Phone 146,2944000000,2944.00 MB,processtable,,2000000,telnet,S3,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0,0,255,181,0.71,0.02,0,0,0.42,0.41,0.01,0.01,18
0,tcp,12/1/2018 10:53,104.208.232.49,Hacker 6,172.31.69.16,eMail Server ,2055690.525,2.06 MB,processtable,Critical,4672.023921,telnet,S3,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0,0,255,140,0.55,0.02,0,0,0.53,0.47,0.01,0.01,18
0,tcp,12/1/2018 10:55,104.208.232.49,Hacker 6,172.31.64.19,eMail Server ,4490712.39,4.49 MB,sendmail,High,10206.16452,auth,SF,10,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,50,1,0.02,0.1,0.02,0,0,0,0,0,0
0,tcp,12/1/2018 10:59,104.208.232.49,Hacker 6,172.31.69.16,Smart Phone 146,1516091.241,1.52 MB,neptune,,3445.661912,klogin,REJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,135,20,0,0,1,1,0.15,0.06,0,255,20,0.08,0.06,0,0,0,0,1,1,19
0,tcp,12/1/2018 11:02,104.208.232.49,Hacker 6,172.31.64.19,Smart Phone 146,269516.1769,269.52 KB,neptune,,614.8496799,private,REJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126,13,0,0,1,1,0.1,0.07,0,255,13,0.05,0.07,0,0,0,0,1,1,21
0,udp,12/1/2018 10:55,104.236.143.191,Hacker 7,172.31.66.29,Smart Phone 24,413058.2741,413.06 KB,normal,Critical,938.7688047,domain_u,SF,42,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,18,0,0,0,0,1,0,0.22,211,167,0.79,0.02,0,0,0,0,0,0,21
0,tcp,12/1/2018 10:57,104.236.143.191,Hacker 7,172.31.68.19,Smart Phone 24,2367813.237,2.37 MB,normal,Low,5401.713647,http,SF,323,1512,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,9,9,0,0,0,0,1,0,0,255,255,1,0,0,0,0,0,0,0,21
0,tcp,12/1/2018 11:02,104.236.143.191,Hacker 7,172.31.66.29,Smart Phone 134,4856780.176,4.86 MB,normal,,11038.13676,ftp_data,SF,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,1,0,0,92,74,0.34,0.03,0.34,0.03,0,0,0,0,17
0,tcp,12/1/2018 11:06,104.236.143.191,Hacker 7,172.31.68.19,Smart Phone 134,1472000000,1472.00 MB,normal,,1000000,smtp,SF,674,368,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0.5,1,0,158,125,0.78,0.02,0.01,0.02,0,0,0,0,21
0,tcp,12/1/2018 10:56,104.238.118.162,Hacker 8,172.31.66.108,Smart Phone 1,1472000000,1472.00 MB,httptunnel,Critical,1000000,other,REJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,0,255,16,0.06,0.01,0,0,0,0,0.04,0.62,15
0,udp,12/1/2018 10:56,104.238.118.162,Hacker 8,172.31.66.96,Smart Phone 1,736000000,736.00 MB,satan,Critical,500000,private,SF,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,117,1,0,0,0,0,0.01,1,0,255,1,0,0.78,1,0,0,0,0,0,16
0,udp,12/1/2018 11:03,104.238.118.162,Hacker 8,172.31.66.108,Smart Phone 78,774594.5342,774.59 KB,snmpguess,,1767.089482,private,SF,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,1,0,0,255,254,1,0.01,0.01,0,0,0,0,0,12
0,tcp,12/1/2018 11:04,104.238.118.162,Hacker 8,172.31.66.96,Smart Phone 78,2665170.116,2.67 MB,normal,,6103.121712,http,SF,346,2526,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7,11,0,0,0,0,1,0,0.18,122,255,1,0,0.01,0.01,0,0,0,0,21
0,icmp,12/1/2018 10:53,104.238.127.21,Hacker 31,172.31.66.21,Smart Phone 20,440000000,440.00 MB,pod,Critical,1000000,tim_i,SF,564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,1,1,0,1,0,0,0,0,0,7
